Jam | Total | Error | Rate%
00:00 | 191 | 28 | 14.66%
01:00 | 212 | 42 | 19.81%
02:00 | 191 | 21 | 10.99%
03:00 | 199 | 39 | 19.60%
04:00 | 182 | 43 | 23.63%
05:00 | 204 | 32 | 15.69%
06:00 | 220 | 33 | 15.00%
07:00 | 207 | 38 | 18.36%
08:00 | 212 | 41 | 19.34%
09:00 | 220 | 44 | 20.00%
10:00 | 195 | 39 | 20.00%
11:00 | 182 | 26 | 14.29%
12:00 | 222 | 30 | 13.51%
13:00 | 212 | 39 | 18.40%
14:00 | 211 | 40 | 18.96%
15:00 | 213 | 45 | 21.13%
16:00 | 223 | 38 | 17.04%
17:00 | 233 | 43 | 18.45%
18:00 | 212 | 39 | 18.40%
19:00 | 243 | 42 | 17.28%
20:00 | 203 | 42 | 20.69%
21:00 | 213 | 36 | 16.90%
22:00 | 202 | 48 | 23.76%
23:00 | 198 | 38 | 19.19%
