OrderID | CustomerID | TotalAmount | ActualSum
ORD-20260027 | CUST-1023 | 5950000 | 5800000
ORD-20260034 | CUST-1144 | 2050000 | 2100000
ORD-20260035 | CUST-1134 | 1825000 | 1850000
ORD-20260038 | CUST-1054 | 800000 | 650000
ORD-20260048 | CUST-1039 | 46225000 | 46250000
ORD-20260084 | CUST-1066 | 1500000 | 1350000
ORD-20260091 | CUST-1022 | 49125000 | 49150000
ORD-20260092 | CUST-1065 | 4350000 | 4200000
ORD-20260093 | CUST-1007 | 350000 | 400000
ORD-20260112 | CUST-1131 | 17375000 | 17400000
ORD-20260120 | CUST-1024 | 1275000 | 1300000
ORD-20260124 | CUST-1063 | 6275000 | 6300000
ORD-20260125 | CUST-1098 | 19300000 | 19200000
ORD-20260141 | CUST-1119 | 20700000 | 20550000
ORD-20260158 | CUST-1057 | 3300000 | 3350000
ORD-20260159 | CUST-1070 | 875000 | 900000
ORD-20260162 | CUST-1041 | 23000000 | 23050000
ORD-20260168 | CUST-1074 | 1025000 | 1050000
ORD-20260172 | CUST-1012 | 7000000 | 7050000
ORD-20260175 | CUST-1089 | 1300000 | 1350000
ORD-20260178 | CUST-1048 | 8225000 | 8250000
ORD-20260180 | CUST-1040 | 31575000 | 31600000
ORD-20260184 | CUST-1078 | 2275000 | 2300000
ORD-20260192 | CUST-1144 | 52050000 | 52100000
ORD-20260198 | CUST-1029 | 18650000 | 18550000
ORD-20260212 | CUST-1138 | 1350000 | 1250000
ORD-20260214 | CUST-1031 | 500000 | 350000
ORD-20260220 | CUST-1149 | 33250000 | 33100000
ORD-20260222 | CUST-1054 | 6450000 | 6300000
ORD-20260236 | CUST-1141 | 10100000 | 9950000
ORD-20260239 | CUST-1149 | 550000 | 450000
ORD-20260262 | CUST-1014 | 47425000 | 47450000
ORD-20260284 | CUST-1040 | 49850000 | 49750000
ORD-20260292 | CUST-1069 | 35025000 | 35050000
ORD-20260307 | CUST-1076 | 750000 | 600000
ORD-20260345 | CUST-1021 | 300000 | 350000
ORD-20260354 | CUST-1028 | 250000 | 300000
ORD-20260355 | CUST-1024 | 15100000 | 15000000
ORD-20260364 | CUST-1068 | 3875000 | 3900000
ORD-20260375 | CUST-1017 | 100000 | 150000
ORD-20260397 | CUST-1010 | 31500000 | 31550000
ORD-20260398 | CUST-1125 | 10075000 | 10100000
ORD-20260406 | CUST-1124 | 2050000 | 2100000
ORD-20260423 | CUST-1119 | 38400000 | 38250000
ORD-20260435 | CUST-1107 | 30375000 | 30400000
ORD-20260459 | CUST-1080 | 34400000 | 34300000
ORD-20260461 | CUST-1117 | 6800000 | 6650000
ORD-20260495 | CUST-1069 | 650000 | 500000
