Tanggal    | Jumlah Order
2026-04-18 | 19 order
2026-04-19 | 14 order
2026-04-20 | 16 order
2026-04-21 | 13 order
2026-04-22 | 12 order
2026-04-23 | 15 order
2026-04-24 | 15 order
2026-04-25 | 12 order
2026-04-26 | 21 order
2026-04-27 | 14 order
2026-04-28 | 15 order
2026-04-29 | 21 order
2026-04-30 | 15 order
2026-05-01 | 13 order
2026-05-02 | 14 order
2026-05-03 | 19 order
2026-05-04 | 11 order
2026-05-05 | 20 order
2026-05-06 | 26 order
2026-05-07 | 18 order
2026-05-08 | 17 order
2026-05-09 | 22 order
2026-05-10 | 9 order
2026-05-11 | 7 order
2026-05-12 | 19 order
2026-05-13 | 19 order
2026-05-14 | 18 order
2026-05-15 | 15 order
2026-05-16 | 15 order
2026-05-17 | 20 order
2026-05-18 | 16 order
