kode_produk,nama_produk,harga,stok,kategori,last_updated
PROD-0760,novel fiksi terjemahan,0,12,buku,2026-01-20 00:00:00
PROD-0761,charger type-c fast,0,0,elektronik,2025-01-30 18:00:00
PROD-0720,mouse wireless,15000,50,elektronik,Jan 08
PROD-0762,laptop gaming i7,0,12,elektronik,Mar 21
PROD-0721,laptop gaming i7,0,0,kosong,ELEKTRONIK
PROD-0763,baju anak laki-laki,120000,0,pakaian,2025-06-21 00:00:00
PROD-0722,komik jepang lama,0,55,buku,2025-06-08 00:00:00
PROD-1800,charger type-c fast,45,0,elektronik,2025-05-18 12:00:00
PROD-0764,kaos polos combed,0,75,pakaian,2025-05-18 12:00:00
PROD-0490,buku mewarnai anak,15000,0,buku,Jul 22
PROD-0723,laptop gaming i7,0,61,elektronik,2025-05-18 12:00:00
PROD-0765,komik jepang lama,0,0,buku,2025-09-20 23:00:00
PROD-0491,kamus bahasa inggris,48000,12,buku,2025-03-16 16:00:00
PROD-0724,baju anak perempuan,48000,12,pakaian,2025-10-16 00:00:00
PROD-0450,baju anak perempuan,0,0,pakaian,2025-05-18 12:00:00
PROD-0766,baju bayi,45000,0,pakaian,Jan 08
PROD-0492,kemeja flanel keren,45,0,pakaian,2025-07-25 00:00:00
PROD-0725,charger type-c fast,0,0,40,elektronik murah
PROD-0451,baju anak perempuan,45000,0,pakaian,2025-05-18 12:00:00
PROD-0410,laptop gaming i7,120000,12,elektronik,Feb 11
PROD-1570,laptop gaming i7,120,83,elektronik,2025-05-18 12:00:00
PROD-0767,baju anak laki-laki,120000,0,pakaian,Apr 05
PROD-0493,buku mewarnai anak,0,0,-5,buku
PROD-0726,baju bayi,45,0,pakaian,2025-09-12 00:00:00
PROD-0452,mouse wireless,120000,12,elektronik,Feb 27
PROD-0411,kaos polos combed,120,12,pakaian,2025-05-18 12:00:00
PROD-1571,powerbank 10000mah,120000,95,elektronik,2025-05-18 12:00:00
PROD-1530,kemeja flanel keren,0,0,pakaian,2025-05-10 00:00:00
PROD-0768,baju anak perempuan,15,0,pakaian,2025-05-18 12:00:00
PROD-0494,mouse wireless,0,58,elektronik,2025-02-10 15:00:00
PROD-0727,komik jepang lama,48000,0,buku,2025-04-13 2:00:00
PROD-0453,baju anak perempuan,0,0,12,PAKAIAN
PROD-0412,charger type-c fast,0,0,-5,elektronik
PROD-1572,buku pemrograman python,120,0,buku,2025-08-05 00:00:00
PROD-1531,baju anak laki-laki,0,0,pakaian,Jun 13
PROD-0769,baju anak perempuan,45000,0,pakaian,2026-01-31 11:00:00
PROD-0495,komik jepang lama,120000,0,buku,2025-05-18 12:00:00
PROD-0728,mouse wireless,45,0,elektronik,2025-02-26 11:00:00
PROD-0454,baju anak perempuan,15000,70,pakaian,2025-05-18 12:00:00
PROD-0180,kaos polos combed,45,12,pakaian,2025-05-18 12:00:00
PROD-0413,baju anak perempuan,0,0,pakaian,2025-06-19 00:00:00
PROD-1573,hp android murah,0,41,elektronik,2025-10-12 6:00:00
PROD-1532,mouse wireless,15000,0,elektronik,2025-05-18 12:00:00
PROD-0496,kemeja flanel keren,0,0,kosong,pakaian
PROD-0729,kaos polos combed,16000,0,pakaian,2026-03-26 00:00:00
PROD-0455,kaos polos combed,128000,98,pakaian,2025-05-18 12:00:00
PROD-0181,hp android murah,45,0,elektronik,Sep 08
PROD-0414,kemeja flanel keren,0,0,pakaian,2025-06-20 7:00:00
PROD-0140,baju anak laki-laki,0,0,pakaian,2025-03-29 00:00:00
PROD-1574,baju bayi,0,0,kosong,pakian
PROD-1533,komik jepang lama,120,0,buku,2025-05-18 12:00:00
PROD-0497,charger type-c fast,0,44,elektronik,2025-05-18 12:00:00
PROD-0456,baju anak perempuan,0,12,pakaian,2026-03-10 21:00:00
PROD-0182,komik jepang lama,45000,0,buku,2025-04-07 12:00:00
PROD-0415,kemeja flanel keren,0,12,pakaian,2025-09-18 00:00:00
PROD-0141,kemeja flanel keren,0,0,pakaian,2025-08-14 00:00:00
PROD-0100,novel fiksi terjemahan,120000,0,buku,2025-09-11 22:00:00
PROD-1575,hp android murah,0,16,elektronik,2025-05-18 12:00:00
