kode_produk,nama_produk,harga,stok,kategori,last_updated
PROD-0001,NOVEL FIKSI TERJEMAHAN,120,12,buku,"Mar 12, 2026"
PROD-0002,kaos polos combed,"Rp120000,-",null,pakian,"Nov 01, 2025"
PROD-0003,LAPTOP gaming i7,45,kosong,elektronik murah,"Jan 24, 2026"
PROD-0004,mouse WIRELESS,"Rp45000,-",-5,elektronik,1774594800
PROD-0005,POWERBANK 10000mah,45,null,elektronik,"Mar 23, 2025"
PROD-0006,BAJU  ANAK PEREMPUAN,15,null,pakaian,2026-03-19 12:00:00
PROD-0007,Buku Mewarnai anak,"Rp120000,-",12,buku,1766206800
PROD-0008,buku pemrograman python,45rb,34,buku bacaan,1752559200
PROD-0009,Buku Mewarnai anak,120000,12,buku bacaan,1744138800
PROD-0010,KAMUS BAHASA INGGRIS,"Rp120000,-",35,BUKU,09/02/2025
PROD-0011,NOVEL FIKSI TERJEMAHAN,$8.00,null,BUKU,1755522000
PROD-0012,KEMEJA FLANEL Keren,15000,12,pakian,01/08/2025
PROD-0013,buku pemrograman python,"Rp45000,-",null,buku bacaan,2025-12-08 12:00:00
PROD-0014,komik jepang lama,Rp 120.000,-5,buku,2025-07-24 14:00:00
PROD-0015,kaos polos combed,$8.00,45,pakaian,1739484000
PROD-0016,NOVEL FIKSI TERJEMAHAN,$1.00,12,buku bacaan,2025-08-24 11:00:00
PROD-0017,KEMEJA FLANEL Keren,15rb,kosong,pakian,"Nov 01, 2025"
PROD-0018,komik jepang lama,Rp 120.000,null,buku bacaan,25/10/2025
PROD-0019,baju anak laki-laki,120,null,PAKAIAN,"Mar 23, 2025"
PROD-0020,POWERBANK 10000mah,Rp 15.000,null,elektronik,09/06/2025
PROD-0021,hP android murah,120000,null,elektronik,20/03/2026
PROD-0022,POWERBANK 10000mah,15000,null,ELEKTRONIK,"Feb 25, 2025"
PROD-0023,KAMUS BAHASA INGGRIS,15000,null,buku bacaan,1744660800
PROD-0024,KEMEJA FLANEL Keren,"Rp120000,-",-5,pakian,1754110800
PROD-0025,BAJU  ANAK PEREMPUAN,Rp 15.000,12,pakian,2025-08-23 21:00:00
